Zip_Code_Year,Median_Household_Income,Percent_Bachelors_Higher,Zip_Code,Year
78660_2012,71507.0,10.1,78660,2012
78703_2012,92606.0,37.8,78703,2012
78721_2012,32131.0,15.7,78721,2012
78726_2012,66096.0,22.8,78726,2012
78704_2012,50248.0,26.1,78704,2012
78725_2012,52313.0,17.3,78725,2012
78739_2012,126525.0,17.7,78739,2012
78742_2012,34076.0,0.0,78742,2012
78652_2012,77985.0,9.0,78652,2012
78702_2012,34734.0,11.1,78702,2012
78745_2012,49243.0,16.4,78745,2012
78641_2012,64442.0,4.4,78641,2012
78653_2012,55398.0,2.7,78653,2012
78645_2012,70981.0,8.1,78645,2012
78719_2012,39500.0,0.0,78719,2012
78723_2012,41869.0,12.0,78723,2012
78738_2012,126233.0,16.5,78738,2012
78724_2012,35711.0,1.4,78724,2012
78727_2012,65687.0,18.1,78727,2012
78744_2012,41056.0,3.1,78744,2012
78748_2012,65889.0,17.6,78748,2012
78756_2012,59685.0,45.5,78756,2012
78654_2012,44962.0,0.8,78654,2012
78730_2012,119573.0,23.2,78730,2012
78733_2012,124831.0,9.8,78733,2012
78751_2012,38624.0,37.3,78751,2012
78610_2012,83536.0,7.8,78610,2012
78669_2012,82244.0,17.6,78669,2012
78701_2012,68152.0,26.9,78701,2012
78735_2012,74571.0,18.7,78735,2012
78752_2012,33271.0,14.5,78752,2012
78758_2012,41792.0,8.4,78758,2012
78737_2012,116250.0,15.5,78737,2012
78747_2012,57904.0,14.0,78747,2012
78749_2012,80956.0,20.5,78749,2012
78757_2012,55156.0,25.9,78757,2012
78621_2012,53307.0,7.3,78621,2012
78731_2012,78265.0,31.7,78731,2012
78734_2012,82904.0,3.4,78734,2012
78741_2012,30183.0,10.0,78741,2012
78746_2012,125327.0,25.3,78746,2012
78613_2012,80694.0,6.2,78613,2012
78615_2012,65833.0,0.0,78615,2012
78754_2012,53274.0,19.1,78754,2012
78712_2012,-666666666.0,0.0,78712,2012
78732_2012,127726.0,6.8,78732,2012
78617_2013,45212.0,10.5,78617,2013
78722_2013,50923.0,40.7,78722,2013
78664_2013,61401.0,21.1,78664,2013
78660_2013,76007.0,25.2,78660,2013
78703_2013,80569.0,44.6,78703,2013
78721_2013,33798.0,10.8,78721,2013
78726_2013,67466.0,33.0,78726,2013
78704_2013,50930.0,37.1,78704,2013
78725_2013,52381.0,11.4,78725,2013
78739_2013,128597.0,44.5,78739,2013
78742_2013,19688.0,12.8,78742,2013
78705_2013,12143.0,36.0,78705,2013
78759_2013,66828.0,37.8,78759,2013
78728_2013,48612.0,27.3,78728,2013
78736_2013,84940.0,35.0,78736,2013
78750_2013,76236.0,34.9,78750,2013
78753_2013,38884.0,14.9,78753,2013
78641_2013,71885.0,23.6,78641,2013
78653_2013,59763.0,17.6,78653,2013
78645_2013,73601.0,25.1,78645,2013
78719_2013,38305.0,6.7,78719,2013
78723_2013,42939.0,21.3,78723,2013
78738_2013,118795.0,46.1,78738,2013
78724_2013,38479.0,7.9,78724,2013
78727_2013,69570.0,36.3,78727,2013
78744_2013,41721.0,10.0,78744,2013
78748_2013,66309.0,30.4,78748,2013
78756_2013,59854.0,36.1,78756,2013
78654_2013,46086.0,16.0,78654,2013
78652_2013,76604.0,35.2,78652,2013
78702_2013,36197.0,22.0,78702,2013
78745_2013,50672.0,24.9,78745,2013
78730_2013,120568.0,43.3,78730,2013
78733_2013,122860.0,35.0,78733,2013
78751_2013,39032.0,37.8,78751,2013
78610_2013,79049.0,23.3,78610,2013
78669_2013,83024.0,25.7,78669,2013
78701_2013,86541.0,38.1,78701,2013
78735_2013,79984.0,41.3,78735,2013
78752_2013,34716.0,17.4,78752,2013
78758_2013,43537.0,22.7,78758,2013
78737_2013,121094.0,38.1,78737,2013
78747_2013,61599.0,23.0,78747,2013
78749_2013,84907.0,39.8,78749,2013
78757_2013,57429.0,31.1,78757,2013
78621_2013,52471.0,10.0,78621,2013
78731_2013,75269.0,40.6,78731,2013
78734_2013,87300.0,34.5,78734,2013
78741_2013,30871.0,14.9,78741,2013
78746_2013,128936.0,42.3,78746,2013
78613_2013,81928.0,33.1,78613,2013
78615_2013,65625.0,22.2,78615,2013
78754_2013,54896.0,24.4,78754,2013
78712_2013,-666666666.0,-666666666.0,78712,2013
78732_2013,131216.0,44.3,78732,2013
78744_2014,41331.0,11.3,78744,2014
78748_2014,68835.0,29.6,78748,2014
78756_2014,63750.0,35.6,78756,2014
78654_2014,47171.0,17.4,78654,2014
78749_2014,84954.0,39.6,78749,2014
78737_2014,122886.0,37.2,78737,2014
78747_2014,62243.0,23.8,78747,2014
78757_2014,60856.0,33.5,78757,2014
78621_2014,54850.0,10.9,78621,2014
78731_2014,79315.0,40.8,78731,2014
78734_2014,92904.0,33.2,78734,2014
78741_2014,31192.0,16.7,78741,2014
78746_2014,128556.0,42.7,78746,2014
78613_2014,83146.0,32.9,78613,2014
78615_2014,60139.0,18.1,78615,2014
78754_2014,53040.0,22.9,78754,2014
78712_2014,-666666666.0,-666666666.0,78712,2014
78732_2014,128397.0,42.9,78732,2014
78641_2014,73535.0,22.9,78641,2014
78653_2014,62415.0,18.1,78653,2014
78645_2014,70854.0,25.4,78645,2014
78719_2014,38875.0,5.2,78719,2014
78723_2014,42615.0,21.4,78723,2014
78738_2014,127683.0,46.7,78738,2014
78724_2014,36776.0,7.7,78724,2014
78727_2014,69699.0,35.0,78727,2014
78730_2014,108421.0,42.2,78730,2014
78733_2014,127250.0,38.7,78733,2014
78751_2014,41279.0,38.5,78751,2014
78610_2014,74550.0,23.4,78610,2014
78669_2014,79850.0,26.7,78669,2014
78701_2014,87306.0,38.2,78701,2014
78735_2014,81152.0,38.5,78735,2014
78752_2014,37396.0,17.8,78752,2014
78758_2014,44476.0,22.1,78758,2014
78705_2014,12786.0,34.8,78705,2014
78759_2014,70095.0,37.2,78759,2014
78753_2014,39228.0,14.3,78753,2014
78728_2014,49521.0,28.9,78728,2014
78736_2014,86439.0,32.7,78736,2014
78750_2014,73659.0,33.6,78750,2014
78617_2014,45040.0,8.9,78617,2014
78722_2014,54526.0,42.8,78722,2014
78664_2014,61673.0,20.8,78664,2014
78652_2014,70868.0,35.7,78652,2014
78702_2014,37690.0,22.1,78702,2014
78745_2014,52949.0,25.6,78745,2014
78660_2014,75138.0,25.3,78660,2014
78703_2014,81903.0,45.0,78703,2014
78721_2014,36698.0,11.4,78721,2014
78726_2014,68777.0,35.3,78726,2014
78704_2014,52306.0,38.2,78704,2014
78725_2014,65048.0,12.5,78725,2014
78739_2014,130199.0,45.0,78739,2014
78742_2014,35700.0,11.0,78742,2014
78730_2015,105022.0,72.4,78730,2015
78733_2015,130964.0,77.3,78733,2015
78751_2015,45726.0,67.7,78751,2015
78610_2015,74250.0,34.1,78610,2015
78669_2015,77396.0,41.3,78669,2015
78701_2015,96455.0,75.9,78701,2015
78735_2015,89245.0,66.5,78735,2015
78752_2015,38841.0,29.1,78752,2015
78758_2015,43979.0,31.9,78758,2015
78705_2015,12385.0,65.4,78705,2015
78759_2015,71647.0,65.1,78759,2015
78728_2015,53510.0,41.0,78728,2015
78736_2015,92581.0,53.8,78736,2015
78750_2015,76285.0,56.2,78750,2015
78753_2015,40376.0,18.7,78753,2015
78617_2015,45995.0,10.1,78617,2015
78722_2015,64929.0,64.7,78722,2015
78664_2015,62446.0,29.7,78664,2015
78660_2015,76368.0,36.7,78660,2015
78703_2015,88163.0,84.2,78703,2015
78721_2015,37234.0,16.2,78721,2015
78726_2015,70664.0,63.1,78726,2015
78704_2015,58601.0,61.2,78704,2015
78725_2015,58707.0,16.1,78725,2015
78739_2015,132026.0,70.7,78739,2015
78742_2015,37375.0,18.3,78742,2015
78652_2015,73194.0,43.2,78652,2015
78702_2015,41016.0,34.0,78702,2015
78745_2015,55365.0,37.6,78745,2015
78737_2015,127934.0,60.4,78737,2015
78747_2015,67313.0,30.6,78747,2015
78749_2015,89713.0,63.7,78749,2015
78757_2015,61497.0,55.9,78757,2015
78744_2015,42440.0,16.0,78744,2015
78748_2015,70141.0,42.9,78748,2015
78756_2015,64978.0,70.2,78756,2015
78654_2015,47914.0,25.4,78654,2015
78641_2015,77052.0,33.7,78641,2015
78653_2015,62198.0,22.0,78653,2015
78645_2015,71076.0,36.5,78645,2015
78719_2015,41111.0,9.8,78719,2015
78723_2015,42433.0,35.1,78723,2015
78621_2015,55000.0,16.1,78621,2015
78731_2015,82892.0,77.0,78731,2015
78734_2015,95539.0,51.9,78734,2015
78741_2015,31657.0,25.9,78741,2015
78746_2015,128184.0,79.2,78746,2015
78613_2015,84556.0,47.4,78613,2015
78615_2015,45179.0,29.1,78615,2015
78754_2015,53962.0,35.6,78754,2015
78712_2015,-666666666.0,-666666666.0,78712,2015
78738_2015,128160.0,71.0,78738,2015
78724_2015,39350.0,11.0,78724,2015
78727_2015,72953.0,52.8,78727,2015
78732_2015,132980.0,74.3,78732,2015
78744_2016,43871.0,15.9,78744,2016
78748_2016,72908.0,43.0,78748,2016
78756_2016,69583.0,72.9,78756,2016
78654_2016,54002.0,26.8,78654,2016
78641_2016,83526.0,36.6,78641,2016
78653_2016,60880.0,23.0,78653,2016
78645_2016,70396.0,34.9,78645,2016
78719_2016,45250.0,8.5,78719,2016
78723_2016,42462.0,36.9,78723,2016
78738_2016,121505.0,70.2,78738,2016
78724_2016,41308.0,12.2,78724,2016
78727_2016,72535.0,54.9,78727,2016
78621_2016,54921.0,16.2,78621,2016
78731_2016,83438.0,75.3,78731,2016
78734_2016,98019.0,52.7,78734,2016
78741_2016,34950.0,29.7,78741,2016
78746_2016,132551.0,79.3,78746,2016
78613_2016,91033.0,46.4,78613,2016
78615_2016,44779.0,26.2,78615,2016
78754_2016,56819.0,35.0,78754,2016
78712_2016,-666666666.0,100.0,78712,2016
78732_2016,138734.0,71.7,78732,2016
78733_2016,129875.0,75.9,78733,2016
78730_2016,105086.0,69.8,78730,2016
78751_2016,51567.0,71.2,78751,2016
78610_2016,75453.0,36.2,78610,2016
78669_2016,92875.0,43.2,78669,2016
78701_2016,102112.0,75.3,78701,2016
78735_2016,94375.0,64.5,78735,2016
78752_2016,38363.0,29.1,78752,2016
78758_2016,47244.0,32.6,78758,2016
78705_2016,13349.0,66.7,78705,2016
78759_2016,74379.0,65.7,78759,2016
78728_2016,55619.0,41.8,78728,2016
78736_2016,97049.0,54.9,78736,2016
78750_2016,79228.0,57.0,78750,2016
78753_2016,41489.0,18.6,78753,2016
78617_2016,47551.0,10.2,78617,2016
78722_2016,63559.0,64.3,78722,2016
78664_2016,63923.0,29.3,78664,2016
78660_2016,78145.0,37.3,78660,2016
78703_2016,92746.0,84.6,78703,2016
78721_2016,38301.0,20.9,78721,2016
78726_2016,95646.0,69.1,78726,2016
78704_2016,62283.0,62.3,78704,2016
78725_2016,55119.0,17.2,78725,2016
78739_2016,134313.0,71.6,78739,2016
78742_2016,36250.0,10.1,78742,2016
78652_2016,78594.0,39.9,78652,2016
78702_2016,48174.0,35.9,78702,2016
78745_2016,56778.0,37.8,78745,2016
78737_2016,123312.0,60.6,78737,2016
78747_2016,75698.0,31.0,78747,2016
78749_2016,87421.0,62.2,78749,2016
78757_2016,62992.0,56.4,78757,2016
78744_2017,47073.0,17.0,78744,2017
78748_2017,74176.0,44.9,78748,2017
78756_2017,73578.0,73.8,78756,2017
78654_2017,56488.0,26.2,78654,2017
78737_2017,127136.0,60.5,78737,2017
78747_2017,79500.0,30.9,78747,2017
78749_2017,92313.0,65.1,78749,2017
78757_2017,65709.0,56.0,78757,2017
78641_2017,88562.0,36.9,78641,2017
78653_2017,66752.0,25.4,78653,2017
78645_2017,75761.0,35.0,78645,2017
78719_2017,46833.0,7.8,78719,2017
78723_2017,49606.0,39.1,78723,2017
78738_2017,123836.0,69.3,78738,2017
78621_2017,58730.0,17.4,78621,2017
78731_2017,89099.0,77.0,78731,2017
78734_2017,107827.0,56.2,78734,2017
78741_2017,39049.0,29.9,78741,2017
78746_2017,136138.0,80.8,78746,2017
78613_2017,96857.0,47.4,78613,2017
78615_2017,43988.0,24.6,78615,2017
78754_2017,64114.0,38.3,78754,2017
78712_2017,-666666666.0,100.0,78712,2017
78732_2017,142612.0,74.2,78732,2017
78724_2017,45158.0,12.9,78724,2017
78727_2017,74458.0,56.0,78727,2017
78730_2017,108750.0,75.5,78730,2017
78733_2017,136563.0,72.7,78733,2017
78751_2017,54129.0,71.6,78751,2017
78610_2017,76623.0,36.4,78610,2017
78669_2017,100862.0,50.4,78669,2017
78701_2017,112201.0,73.2,78701,2017
78735_2017,102551.0,64.4,78735,2017
78752_2017,41486.0,33.8,78752,2017
78758_2017,50018.0,34.9,78758,2017
78705_2017,15309.0,66.7,78705,2017
78759_2017,76749.0,65.7,78759,2017
78728_2017,55603.0,43.5,78728,2017
78736_2017,107467.0,53.4,78736,2017
78750_2017,81061.0,57.7,78750,2017
78753_2017,45983.0,19.4,78753,2017
78617_2017,52819.0,11.2,78617,2017
78722_2017,69267.0,67.9,78722,2017
78664_2017,67462.0,31.6,78664,2017
78660_2017,81693.0,36.8,78660,2017
78703_2017,98553.0,83.9,78703,2017
78721_2017,41611.0,23.8,78721,2017
78726_2017,88322.0,66.1,78726,2017
78704_2017,66262.0,63.7,78704,2017
78725_2017,62172.0,16.2,78725,2017
78739_2017,147736.0,74.6,78739,2017
78742_2017,33182.0,17.8,78742,2017
78652_2017,87520.0,42.6,78652,2017
78702_2017,54053.0,39.4,78702,2017
78745_2017,60567.0,39.4,78745,2017
78641_2018,94685.0,37.8,78641,2018
78653_2018,69107.0,23.8,78653,2018
78645_2018,76396.0,34.5,78645,2018
78719_2018,58917.0,7.0,78719,2018
78723_2018,54707.0,40.8,78723,2018
78738_2018,130699.0,71.0,78738,2018
78737_2018,132245.0,62.0,78737,2018
78747_2018,81184.0,32.2,78747,2018
78749_2018,98953.0,66.1,78749,2018
78757_2018,70489.0,57.7,78757,2018
78724_2018,45887.0,14.4,78724,2018
78727_2018,78542.0,58.3,78727,2018
78705_2018,19188.0,69.5,78705,2018
78759_2018,81066.0,68.0,78759,2018
78728_2018,55099.0,42.7,78728,2018
78736_2018,109012.0,52.8,78736,2018
78750_2018,91585.0,59.1,78750,2018
78753_2018,49065.0,21.0,78753,2018
78744_2018,49633.0,19.7,78744,2018
78748_2018,77700.0,44.8,78748,2018
78756_2018,82705.0,74.4,78756,2018
78654_2018,56992.0,28.1,78654,2018
78621_2018,62862.0,17.0,78621,2018
78731_2018,94048.0,78.1,78731,2018
78734_2018,115458.0,58.5,78734,2018
78741_2018,41852.0,32.3,78741,2018
78746_2018,139951.0,81.4,78746,2018
78613_2018,101832.0,49.3,78613,2018
78615_2018,47500.0,23.0,78615,2018
78754_2018,67224.0,40.0,78754,2018
78712_2018,-666666666.0,100.0,78712,2018
78732_2018,156599.0,71.4,78732,2018
78617_2018,54940.0,10.3,78617,2018
78722_2018,71340.0,69.3,78722,2018
78664_2018,72467.0,33.1,78664,2018
78660_2018,83499.0,36.5,78660,2018
78703_2018,105207.0,85.5,78703,2018
78721_2018,44076.0,29.6,78721,2018
78726_2018,77935.0,68.0,78726,2018
78704_2018,70511.0,65.9,78704,2018
78725_2018,65345.0,20.0,78725,2018
78739_2018,150000.0,72.8,78739,2018
78742_2018,38958.0,8.9,78742,2018
78730_2018,112333.0,76.2,78730,2018
78733_2018,154543.0,74.5,78733,2018
78751_2018,59926.0,72.0,78751,2018
78610_2018,79318.0,38.6,78610,2018
78669_2018,109963.0,53.6,78669,2018
78701_2018,107190.0,76.0,78701,2018
78735_2018,97636.0,65.3,78735,2018
78752_2018,45644.0,36.8,78752,2018
78758_2018,53547.0,36.8,78758,2018
78652_2018,82328.0,43.4,78652,2018
78702_2018,59705.0,43.3,78702,2018
78745_2018,62265.0,39.9,78745,2018
78730_2019,124063.0,76.1,78730,2019
78733_2019,184500.0,77.6,78733,2019
78751_2019,64340.0,72.9,78751,2019
78610_2019,80256.0,38.5,78610,2019
78669_2019,121118.0,54.1,78669,2019
78701_2019,122182.0,78.0,78701,2019
78735_2019,98906.0,67.5,78735,2019
78752_2019,48454.0,38.8,78752,2019
78758_2019,55074.0,38.1,78758,2019
78722_2019,72428.0,69.6,78722,2019
78664_2019,75766.0,32.8,78664,2019
78660_2019,88204.0,37.6,78660,2019
78703_2019,108548.0,85.3,78703,2019
78721_2019,46591.0,33.7,78721,2019
78726_2019,77384.0,67.7,78726,2019
78704_2019,75233.0,67.2,78704,2019
78725_2019,59949.0,19.4,78725,2019
78739_2019,162274.0,75.6,78739,2019
78742_2019,52917.0,14.2,78742,2019
78737_2019,142411.0,63.9,78737,2019
78747_2019,82811.0,34.4,78747,2019
78749_2019,105734.0,67.1,78749,2019
78757_2019,76716.0,58.1,78757,2019
78617_2019,62179.0,9.9,78617,2019
78641_2019,100562.0,39.1,78641,2019
78653_2019,73496.0,24.8,78653,2019
78645_2019,80179.0,35.1,78645,2019
78719_2019,64167.0,7.1,78719,2019
78723_2019,59197.0,43.6,78723,2019
78738_2019,129907.0,71.2,78738,2019
78724_2019,50625.0,15.3,78724,2019
78727_2019,80758.0,60.3,78727,2019
78705_2019,20326.0,70.7,78705,2019
78759_2019,85555.0,67.4,78759,2019
78728_2019,57590.0,45.9,78728,2019
78736_2019,103287.0,49.1,78736,2019
78750_2019,102130.0,60.9,78750,2019
78753_2019,51053.0,22.5,78753,2019
78652_2019,86404.0,41.3,78652,2019
78702_2019,65689.0,47.0,78702,2019
78745_2019,64626.0,43.0,78745,2019
78744_2019,52345.0,20.5,78744,2019
78748_2019,76909.0,47.1,78748,2019
78756_2019,82535.0,75.9,78756,2019
78654_2019,54034.0,29.7,78654,2019
78621_2019,72500.0,16.5,78621,2019
78731_2019,94851.0,78.9,78731,2019
78734_2019,117604.0,59.8,78734,2019
78741_2019,45835.0,35.2,78741,2019
78746_2019,151801.0,83.0,78746,2019
78613_2019,104308.0,50.2,78613,2019
78615_2019,54861.0,19.3,78615,2019
78754_2019,72752.0,41.8,78754,2019
78712_2019,-666666666.0,100.0,78712,2019
78732_2019,167604.0,74.1,78732,2019
78728_2020,62223.0,49.3,78728,2020
78736_2020,97184.0,50.9,78736,2020
78750_2020,100489.0,59.8,78750,2020
78753_2020,53797.0,27.1,78753,2020
78744_2020,62905.0,22.3,78744,2020
78748_2020,88688.0,49.9,78748,2020
78756_2020,84779.0,73.9,78756,2020
78654_2020,57087.0,30.6,78654,2020
78669_2020,133673.0,59.1,78669,2020
78701_2020,127782.0,77.2,78701,2020
78735_2020,100000.0,65.9,78735,2020
78752_2020,49214.0,41.8,78752,2020
78758_2020,60769.0,42.9,78758,2020
78617_2020,64117.0,13.0,78617,2020
78722_2020,75274.0,66.6,78722,2020
78664_2020,77679.0,31.4,78664,2020
78652_2020,88243.0,43.0,78652,2020
78660_2020,93819.0,37.5,78660,2020
78703_2020,108065.0,84.4,78703,2020
78721_2020,55359.0,39.7,78721,2020
78726_2020,88750.0,69.6,78726,2020
78702_2020,72906.0,50.5,78702,2020
78745_2020,68669.0,45.9,78745,2020
78621_2020,80100.0,18.0,78621,2020
78731_2020,85586.0,79.2,78731,2020
78734_2020,114709.0,59.9,78734,2020
78741_2020,52048.0,39.6,78741,2020
78746_2020,151488.0,82.5,78746,2020
78613_2020,107983.0,49.2,78613,2020
78615_2020,70833.0,19.2,78615,2020
78754_2020,77377.0,42.5,78754,2020
78645_2020,83388.0,38.0,78645,2020
78719_2020,49917.0,4.0,78719,2020
78723_2020,72764.0,47.9,78723,2020
78738_2020,117371.0,72.9,78738,2020
78724_2020,58095.0,16.5,78724,2020
78727_2020,83603.0,60.2,78727,2020
78730_2020,113614.0,71.3,78730,2020
78733_2020,171027.0,77.0,78733,2020
78712_2020,-666666666.0,100.0,78712,2020
78732_2020,175118.0,75.9,78732,2020
78751_2020,61735.0,72.8,78751,2020
78610_2020,84114.0,40.3,78610,2020
78704_2020,78861.0,65.9,78704,2020
78725_2020,74205.0,25.7,78725,2020
78739_2020,169023.0,77.8,78739,2020
78742_2020,59792.0,12.2,78742,2020
78641_2020,105096.0,40.2,78641,2020
78653_2020,85544.0,28.0,78653,2020
78737_2020,134545.0,63.2,78737,2020
78747_2020,84098.0,35.5,78747,2020
78749_2020,102303.0,65.8,78749,2020
78757_2020,77560.0,56.8,78757,2020
78705_2020,23509.0,70.1,78705,2020
78759_2020,87080.0,68.8,78759,2020
78610_2021,89473.0,39.8,78610,2021
78613_2021,108937.0,52.0,78613,2021
78615_2021,65903.0,19.0,78615,2021
78617_2021,68069.0,14.0,78617,2021
78621_2021,85262.0,21.6,78621,2021
78641_2021,112267.0,43.7,78641,2021
78645_2021,90743.0,36.7,78645,2021
78652_2021,127500.0,50.1,78652,2021
78653_2021,86678.0,26.5,78653,2021
78654_2021,61386.0,31.6,78654,2021
78660_2021,98610.0,39.2,78660,2021
78664_2021,80403.0,32.4,78664,2021
78669_2021,110573.0,53.7,78669,2021
78701_2021,136486.0,80.0,78701,2021
78702_2021,82176.0,53.7,78702,2021
78703_2021,125448.0,85.2,78703,2021
78704_2021,82641.0,67.2,78704,2021
78705_2021,23750.0,68.7,78705,2021
78712_2021,-666666666.0,31.0,78712,2021
78719_2021,49671.0,8.4,78719,2021
78721_2021,61462.0,43.9,78721,2021
78722_2021,85137.0,71.9,78722,2021
78723_2021,76535.0,50.8,78723,2021
78724_2021,58631.0,20.1,78724,2021
78725_2021,78420.0,33.4,78725,2021
78726_2021,84105.0,66.4,78726,2021
78727_2021,91375.0,61.2,78727,2021
78728_2021,64054.0,45.3,78728,2021
78730_2021,122243.0,76.1,78730,2021
78731_2021,92641.0,80.8,78731,2021
78732_2021,180518.0,76.4,78732,2021
78733_2021,187778.0,77.9,78733,2021
78734_2021,116955.0,60.0,78734,2021
78735_2021,105132.0,70.3,78735,2021
78736_2021,92976.0,51.7,78736,2021
78737_2021,139869.0,61.1,78737,2021
78738_2021,143639.0,74.1,78738,2021
78739_2021,178614.0,80.4,78739,2021
78741_2021,54422.0,43.7,78741,2021
78742_2021,63750.0,11.2,78742,2021
78744_2021,65262.0,25.8,78744,2021
78745_2021,72439.0,48.1,78745,2021
78746_2021,166415.0,83.1,78746,2021
78747_2021,86862.0,36.5,78747,2021
78748_2021,89480.0,52.1,78748,2021
78749_2021,112813.0,68.3,78749,2021
78750_2021,108686.0,62.3,78750,2021
78751_2021,67552.0,74.5,78751,2021
78752_2021,51630.0,38.8,78752,2021
78753_2021,55132.0,29.6,78753,2021
78754_2021,83043.0,42.0,78754,2021
78756_2021,87985.0,68.7,78756,2021
78757_2021,87434.0,61.0,78757,2021
78758_2021,63283.0,43.3,78758,2021
78759_2021,90246.0,69.0,78759,2021
